종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
대동전자,KOSPI,,6840,70,1.03,6880,6880,6750,10088,68542210,71754657480,10490447
대림통상,KOSPI,,4105,65,1.61,4060,4105,4000,16642,67244425,62498625000,15225000
대상,KOSPI,,25400,150,0.59,25250,25550,25150,147507,3745088850,880059835000,34648025
대상홀딩스,KOSPI,,11100,100,0.91,11000,11100,10950,64667,713879700,401959171800,36212538
대성산업,KOSPI,,4525,15,0.33,4475,4555,4470,46903,211119765,204690537950,45235478
대성에너지,KOSPI,,6400,10,0.16,6360,6440,6260,25758,163984410,176000000000,27500000
대성홀딩스,KOSPI,,39300,-300,-0.76,39650,39800,39100,38423,1511897400,632315738700,16089459
대신증권,KOSPI,,19200,0,0.0,19200,19250,19050,108116,2072590150,974849280000,50773400
대양금속,KOSPI,,5650,270,5.02,5400,5680,5400,1416386,7892267630,174923932200,30959988
대영포장,KOSPI,,2780,80,2.96,2720,2830,2705,1963317,5450194625,301336846220,108394549
대우건설,KOSPI,,7320,-30,-0.41,7330,7380,7280,1263138,9264363060,3042357710160,415622638
대우부품,KOSPI,,2660,10,0.38,2665,2685,2610,571143,1515728180,126739357500,47646375
대웅,KOSPI,,35650,-650,-1.79,36300,36300,35400,115446,4120935150,2072761587000,58141980
대웅제약,KOSPI,,164000,-2000,-1.2,164500,166000,162000,45529,7451525500,1900198300000,11586575
대원강업,KOSPI,,4560,90,2.01,4470,4600,4425,990322,4488005600,282720000000,62000000
대원전선,KOSPI,,2255,90,4.16,2185,2270,2165,2132014,4763831050,160143260585,71016967
대원제약,KOSPI,,20800,0,0.0,20550,21300,20200,1388779,28936787850,441476318400,21224823
대원화성,KOSPI,,3180,-70,-2.15,3205,3210,3070,2326803,7320172060,131172303360,41249152
대유에이텍,KOSPI,,1350,60,4.65,1305,1440,1300,9452057,12909438465,151013128950,111861577
대유플러스,KOSPI,,1530,145,10.47,1460,1605,1435,37930527,58647628425,185128124220,120998774
대창,KOSPI,,2220,25,1.14,2185,2235,2170,1141703,2528716100,202331907780,91140499
대창단조,KOSPI,,8200,90,1.11,8110,8300,8110,101060,828657180,117146143000,14286115
대한방직,KOSPI,,43500,100,0.23,43450,43550,43450,13539,588908300,230550000000,5300000
대한유화,KOSPI,,231500,0,0.0,231500,239500,230000,64337,15095031500,1504750000000,6500000
대한전선,KOSPI,,2540,45,1.8,2490,2585,2460,11790094,29956982125,2175441442860,856473009
대한제강,KOSPI,,22000,50,0.23,22100,22100,21750,100173,2196648550,542228148000,24646734
대한제당,KOSPI,,3065,70,2.34,2990,3070,2990,188395,571654020,274920017700,89696580
대한제분,KOSPI,,165000,0,0.0,165500,166500,164000,3536,584333500,278850000000,1690000
대한항공,KOSPI,,31100,-200,-0.64,31100,31650,30850,1925268,60194562550,10817227657500,347820825
대한해운,KOSPI,,2985,40,1.36,2945,3025,2910,2611681,7784220140,952744718100,319177460
대한화섬,KOSPI,,142500,0,0.0,146500,146500,140500,460,65763500,189240000000,1328000
대현,KOSPI,,2600,15,0.58,2585,2600,2555,84050,216691925,115134006000,44282310
대호에이엘,KOSPI,,4175,180,4.51,4000,4630,4000,2050417,8798968040,204564545800,48997496
더블유게임즈,KOSPI,,61700,-1600,-2.53,64000,64700,60200,339434,21226217600,1133706773400,18374502
더존비즈온,KOSPI,,89700,4400,5.16,85800,89700,85600,322609,28446729500,2721557291700,30340661
덕성,KOSPI,,17250,200,1.17,17050,17800,16850,514538,8955727550,270480000000,15680000
덕양산업,KOSPI,,3210,35,1.1,3175,3290,3155,185371,599211460,104533585800,32564980
덴티움,KOSPI,,87500,400,0.46,87800,90000,87000,109624,9691963900,968522625000,11068830
도화엔지니어링,KOSPI,,8500,40,0.47,8420,8550,8410,27228,230954470,286620000000,33720000
동남합성,KOSPI,,66600,1000,1.52,65700,66800,65700,1544,102488000,240426000000,3610000
동방,KOSPI,,5370,80,1.51,5300,5430,5250,412364,2211178760,214648383420,39971766
동방아그로,KOSPI,,7590,110,1.47,7590,7660,7420,31242,235942910,103357409430,13617577
동부건설,KOSPI,,14100,100,0.71,14050,14150,13900,94302,1324873200,320517378900,22731729
동서,KOSPI,,28950,50,0.17,28850,29200,28800,66814,1935258600,2886315000000,99700000
동성제약,KOSPI,,10650,250,2.4,10400,10650,10300,176648,1851379400,277975330500,26100970
동성케미컬,KOSPI,,5720,30,0.53,5690,5790,5670,102291,583295030,284225244160,49689728
동아쏘시오홀딩스,KOSPI,,116000,1000,0.87,115000,116000,113500,12406,1427348000,736310696000,6347506
동아에스티,KOSPI,,77300,300,0.39,77000,77400,76700,18114,1397268800,652710996400,8443868
동아지질,KOSPI,,21000,-150,-0.71,21250,21250,20900,40175,843810900,241500000000,11500000
동아타이어,KOSPI,,12900,50,0.39,12850,12950,12700,18986,243414500,177155893500,13733015
동양,KOSPI,,1805,60,3.44,1740,1920,1715,5402010,9928879535,430824733715,238684063
동양고속,KOSPI,,21800,-350,-1.58,21950,22000,21750,7090,154907050,63123404200,2895569
동양생명,KOSPI,,5460,60,1.11,5400,5490,5390,279508,1523739130,881017874100,161358585
동양철관,KOSPI,,1545,5,0.32,1540,1570,1540,1504230,2333115295,183677773050,118885290
동양피스톤,KOSPI,,7480,-120,-1.58,7630,7960,7410,753384,5692712300,98500080800,13168460
동원F&B,KOSPI,,208000,500,0.24,205000,209000,203000,6433,1324845000,802697792000,3859124
동원금속,KOSPI,,1025,25,2.5,1010,1055,1000,420406,433576015,47923806325,46754933
동원산업,KOSPI,,245000,1000,0.41,241500,247500,240500,3728,911150000,901022045000,3677641
동원수산,KOSPI,,9470,-10,-0.11,9490,9520,9400,26640,251627500,44071533350,4653805
동원시스템즈,KOSPI,,58200,1500,2.65,56300,59700,56000,220693,12859218300,1490997340200,25618511
동일고무벨트,KOSPI,,8640,40,0.47,8610,8640,8520,19280,165538700,120096000000,13900000
동일산업,KOSPI,,111500,1000,0.9,114000,114000,110000,6394,713361500,270411472500,2425215
